Year,Player,GS,MP,PER,TRB%,AST%,STL%,BLK%,TOV%,WS,FG%,3P%,2P%,FTA,FT%,PTS,mvp
1990,Charles Barkley*,79,3085,27.1,16.7,15.6,2.4,1,13.9,17.3,0.6,0.217,0.632,744,0.749,1989,Not MVP
1990,David Robinson*,81,3002,26.3,18.5,8.7,2.2,6.5,13.3,15.1,0.531,0,0.532,837,0.732,1993,Not MVP
1990,Hakeem Olajuwon*,82,3124,24.1,19.5,12.1,2.6,7,14.6,11.2,0.501,0.167,0.502,536,0.713,1995,Not MVP
1990,Karl Malone*,82,3122,27.2,17.1,13.2,1.9,1,13,15.9,0.562,0.372,0.567,913,0.762,2540,Not MVP
1990,Magic Johnson*,79,2937,26.6,10.2,45.5,2.2,0.7,16.9,16.5,0.48,0.384,0.51,637,0.89,1765,MVP
1990,Michael Jordan*,82,3197,31.2,10.4,28.6,3.5,1.1,9.8,19,0.526,0.376,0.548,699,0.848,2753,Not MVP
1991,Charles Barkley*,67,2498,28.9,15.3,20.6,2.2,0.8,12.6,13.4,0.57,0.284,0.614,658,0.722,1849,Not MVP
1991,David Robinson*,81,3095,27.4,19,10.9,2,6.2,13.7,17,0.552,0.143,0.554,777,0.762,2101,Not MVP
1991,Hakeem Olajuwon*,50,2062,24.3,19.9,10.2,2.9,6.4,13.9,8.6,0.508,0,0.51,277,0.769,1187,Not MVP
1991,Karl Malone*,82,3302,24.8,17.2,14.7,1.4,1.5,10.9,15.5,0.527,0.286,0.529,888,0.77,2382,Not MVP
1991,Magic Johnson*,79,2933,25.1,10.9,49.3,1.8,0.3,20.4,15.4,0.477,0.32,0.532,573,0.906,1531,Not MVP
1991,Michael Jordan*,82,3034,31.6,9.5,25.2,3.7,1.7,8.7,20.3,0.539,0.312,0.551,671,0.851,2580,MVP
1992,Charles Barkley*,75,2881,24.5,16.5,18.1,2.4,0.9,14.3,12.3,0.552,0.234,0.597,653,0.695,1730,Not MVP
1992,David Robinson*,68,2564,27.5,17.7,11.3,3.1,7.4,12.1,13.9,0.551,0.125,0.554,561,0.701,1578,Not MVP
1992,Hakeem Olajuwon*,69,2636,23.7,17.8,9.9,2.4,6.8,12,9.8,0.502,0,0.503,428,0.766,1510,Not MVP
1992,Karl Malone*,81,3054,25.4,16.8,13.4,1.8,1,11.6,15.1,0.526,0.176,0.53,865,0.778,2272,Not MVP
1992,Michael Jordan*,80,3102,27.7,9.5,25.7,3,1.5,8.8,17.7,0.519,0.27,0.533,590,0.832,2404,MVP
1993,Charles Barkley*,76,2859,25.9,18.1,21.2,2,1.6,12.5,14.4,0.52,0.305,0.561,582,0.765,1944,MVP
1993,David Robinson*,82,3211,24.2,17.1,15,2,5.1,12.5,13.2,0.501,0.176,0.506,766,0.732,1916,Not MVP
1993,Hakeem Olajuwon*,82,3242,27.3,18.7,15.8,2.4,6.5,12.4,15.8,0.529,0,0.532,570,0.779,2140,Not MVP
1993,Karl Malone*,82,3099,26.2,16.9,16.9,2,1.8,11.7,15.4,0.552,0.2,0.557,836,0.74,2217,Not MVP
1993,Michael Jordan*,78,3067,29.7,9.8,25.2,3.7,1.3,8.4,17.2,0.495,0.352,0.514,569,0.837,2541,Not MVP
1993,Shaquille O'Neal*,81,3071,22.9,20.6,8.5,1,5.7,15.9,10.4,0.562,0,0.563,721,0.592,1893,Not MVP
1994,Charles Barkley*,65,2298,22.8,17.8,20,2.2,1,14.2,8.8,0.495,0.27,0.541,452,0.704,1402,Not MVP
1994,David Robinson*,80,3241,30.7,14.8,21.6,2.3,5.4,10.9,20,0.507,0.345,0.51,925,0.749,2383,Not MVP
1994,Hakeem Olajuwon*,80,3277,25.3,16.2,16.4,2,5.7,12.3,14.3,0.528,0.421,0.529,542,0.716,2184,MVP
1994,Karl Malone*,82,3329,22.9,16.3,17.1,1.9,2.6,11.1,13.4,0.497,0.25,0.503,736,0.694,2063,Not MVP
1994,Shaquille O'Neal*,81,3224,28.5,18.7,11,1.2,4.5,10.2,16.9,0.599,0,0.6,850,0.554,2377,Not MVP
1995,Charles Barkley*,66,2382,25.2,18.2,18.9,2.3,1.4,9.9,10.6,0.486,0.338,0.521,507,0.748,1561,Not MVP
1995,David Robinson*,81,3074,29.1,16.2,13.7,2.2,5.9,11.1,17.5,0.53,0.3,0.533,847,0.774,2238,MVP
1995,Hakeem Olajuwon*,72,2853,26,15.6,17.2,2.4,5.9,11.7,10.7,0.517,0.188,0.52,537,0.756,2005,Not MVP
1995,Karl Malone*,82,3126,25.1,17.4,16.4,2.1,2.2,11.3,13.8,0.536,0.268,0.543,695,0.742,2187,Not MVP
1995,Michael Jordan*,17,668,22.1,10.3,24.2,2.3,1.5,7,2.3,0.411,0.5,0.403,136,0.801,457,Not MVP
1995,Shaquille O'Neal*,79,2923,28.6,17.6,13.3,1.3,4.5,9.4,14,0.583,0,0.585,854,0.533,2315,Not MVP
