,Year,Player,GS,MP,PER,TRB%,AST%,STL%,BLK%,TOV%,WS,FG%,3P%,2P%,FTA,FT%,PTS,mvp,height,weight,years_played,"
							2017/18						"
0,2017,Derrick Rose,64,2082,17.0,6.4,22.8,1.1,0.7,11.9,3.0,0.47100000000000003,0.217,0.48700000000000004,253.0,0.8740000000000001,1154,Not MVP,190.0,86.0,8,"$2,533,488"
1,2017,Dirk Nowitzki,54,1424,17.0,14.4,10.6,1.1,2.4,6.6,2.5,0.43700000000000006,0.37799999999999995,0.46299999999999997,112.0,0.875,769,Not MVP,213.0,111.0,19,"$5,000,000"
2,2017,Kevin Durant,62,2070,27.6,13.6,23.1,1.5,3.8,10.4,12.0,0.537,0.375,0.608,384.0,0.875,1555,Not MVP,206.0,108.0,10,"$25,000,000"
3,2017,LeBron James,74,2794,27.0,12.6,41.3,1.6,1.3,16.1,12.9,0.5479999999999999,0.363,0.611,531.0,0.674,1954,Not MVP,203.0,113.0,14,"$33,285,709"
4,2017,Russell Westbrook,81,2802,30.6,17.1,57.3,2.3,0.9,15.9,13.1,0.425,0.34299999999999997,0.45899999999999996,840.0,0.845,2558,MVP,190.0,90.0,9,"$28,299,399"
5,2017,Stephen Curry,79,2638,24.6,7.3,31.1,2.6,0.5,13.0,12.6,0.46799999999999997,0.41100000000000003,0.537,362.0,0.898,1999,Not MVP,190.0,86.0,8,"$34,682,550"
7,2017,Aaron Brooks,0,894,9.5,4.3,20.7,1.4,0.9,17.2,0.3,0.40299999999999997,0.375,0.424,40.0,0.8,322,Not MVP,183.0,73.0,9,"$2,116,955"
8,2017,Aaron Gordon,72,2298,14.4,9.6,10.5,1.4,1.4,8.5,3.7,0.45399999999999996,0.28800000000000003,0.528,217.0,0.7190000000000001,1019,Not MVP,206.0,99.0,3,"$5,504,419"
9,2017,Aaron Harrison,0,17,-2.2,9.7,22.6,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,2.0,0.5,1,Not MVP,198.0,95.0,2,"$174,570"
10,2017,Adreian Payne,0,135,14.4,14.3,8.0,3.0,4.4,11.4,0.2,0.426,0.2,0.513,19.0,0.737,63,Not MVP,208.0,107.0,3,"$75,000"
11,2017,Al Horford,68,2193,17.7,11.8,24.4,1.2,3.3,11.9,6.3,0.473,0.355,0.524,135.0,0.8,952,Not MVP,208.0,111.0,10,"$27,734,405"
12,2017,Al Jefferson,1,931,18.9,16.8,11.0,1.0,1.5,6.1,2.3,0.499,0.0,0.5,85.0,0.765,535,Not MVP,208.0,131.0,13,"$9,769,821"
13,2017,Al-Farouq Aminu,25,1773,11.3,14.1,7.9,1.7,2.0,15.2,1.9,0.39299999999999996,0.33,0.445,136.0,0.706,532,Not MVP,206.0,99.0,7,"$7,319,035"
15,2017,Alan Williams,0,708,19.5,22.4,5.2,1.8,3.7,10.5,2.1,0.517,0.0,0.519,112.0,0.625,346,Not MVP,198.0,90.0,2,"$6,000,000"
16,2017,Alec Burks,0,653,11.6,10.6,7.5,1.4,0.6,11.0,0.8,0.39899999999999997,0.32899999999999996,0.43,78.0,0.769,283,Not MVP,198.0,97.0,6,"$10,845,506"
17,2017,Alex Abrines,6,1055,10.1,4.5,5.5,1.7,0.6,8.3,2.1,0.39299999999999996,0.381,0.426,49.0,0.898,406,Not MVP,198.0,86.0,1,"$5,725,000"
18,2017,Alex Len,34,1560,15.0,17.8,4.2,1.1,5.1,15.5,3.0,0.49700000000000005,0.25,0.503,208.0,0.721,613,Not MVP,216.0,117.0,4,"$4,187,599"
19,2017,Alex Poythress,1,157,13.2,10.2,5.1,0.9,1.0,4.9,0.3,0.46299999999999997,0.316,0.5429999999999999,10.0,0.8,64,Not MVP,201.0,107.0,1,"$778,668"
20,2017,Alexis Ajinca,15,584,12.9,16.0,3.1,1.7,3.1,13.7,1.0,0.5,0.0,0.511,40.0,0.725,207,Not MVP,218.0,112.0,7,"$4,961,798"
21,2017,Allen Crabbe,7,2254,11.6,5.5,6.1,1.2,0.7,8.1,4.1,0.46799999999999997,0.444,0.49,124.0,0.847,845,Not MVP,198.0,95.0,4,"$18,500,000"
23,2017,Amir Johnson,77,1608,15.0,12.6,13.0,1.6,3.2,15.7,5.0,0.5760000000000001,0.409,0.612,100.0,0.67,520,Not MVP,206.0,108.0,12,"$11,000,000"
25,2017,Andre Drummond,81,2409,20.9,25.3,5.9,2.6,3.1,12.5,6.7,0.53,0.28600000000000003,0.532,355.0,0.386,1105,Not MVP,211.0,126.0,5,"$23,775,506"
26,2017,Andre Iguodala,0,1998,14.4,8.3,16.7,1.8,1.5,11.2,6.9,0.528,0.36200000000000004,0.6509999999999999,102.0,0.706,574,Not MVP,198.0,97.0,13,"$14,814,815"
27,2017,Andre Roberson,79,2376,9.6,9.4,4.6,1.9,2.7,9.1,4.2,0.46399999999999997,0.245,0.609,111.0,0.423,522,Not MVP,196.0,83.0,4,"$9,259,260"
28,2017,Andrew Bogut,42,1166,-5.533333333,14.46666667,8.2,0.8,2.6,33.4,0.46666666700000003,0.469,0.0,0.475,7.333333333,0.273,158,Not MVP,213.0,117.0,12,"$1,078,810"
29,2017,Andrew Harrison,18,1474,8.7,5.3,20.0,1.9,1.3,16.0,1.6,0.325,0.276,0.363,194.0,0.763,425,Not MVP,198.0,96.0,1,"$1,312,611"
30,2017,Andrew Nicholson,0,684,5.733333332999999,10.33333333,4.1,2.233333333,1.233333333,13.06666667,-0.1,0.38633333299999995,0.185,0.457666667,9.333333332999999,0.742,200,Not MVP,206.0,113.0,5,"$2,844,429"
31,2017,Andrew Wiggins,82,3048,16.5,6.3,10.6,1.4,0.8,9.4,4.2,0.452,0.35600000000000004,0.473,542.0,0.76,1933,Not MVP,203.0,90.0,3,"$7,574,322"
34,2017,Anthony Davis,75,2708,27.5,17.3,11.1,1.7,5.1,9.1,11.0,0.504,0.299,0.524,647.0,0.802,2099,Not MVP,206.0,97.0,5,"$23,775,506"
36,2017,Anthony Tolliver,9,1477,11.1,9.3,7.7,1.1,1.2,12.6,2.3,0.442,0.391,0.537,82.0,0.7440000000000001,461,Not MVP,203.0,108.0,9,"$5,290,000"
40,2017,Arron Afflalo,45,1580,9.0,4.6,7.4,0.7,0.4,8.4,1.4,0.44,0.41100000000000003,0.457,93.0,0.892,515,Not MVP,196.0,95.0,10,"$5,328,652"
41,2017,Austin Rivers,29,2054,11.4,4.4,15.0,1.2,0.4,12.4,2.5,0.442,0.371,0.491,191.0,0.691,889,Not MVP,193.0,90.0,5,"$11,825,000"
42,2017,Avery Bradley,55,1835,14.4,10.1,10.9,1.8,0.5,9.7,3.1,0.46299999999999997,0.39,0.504,93.0,0.731,894,Not MVP,188.0,81.0,7,"$8,808,989"
45,2017,Ben McLemore,26,1176,9.8,6.4,6.9,1.2,0.5,11.9,0.4,0.43,0.382,0.462,93.0,0.753,495,Not MVP,196.0,88.0,4,"$5,200,000"
48,2017,Blake Griffin,61,2076,22.7,13.4,24.5,1.4,0.9,10.9,7.7,0.493,0.336,0.514,421.0,0.76,1316,Not MVP,208.0,113.0,7,"$29,512,900"
50,2017,Bobby Brown,0,123,10.8,2.7,17.6,0.4,0.0,7.6,0.1,0.38299999999999995,0.4,0.36,2.0,1.0,62,Not MVP,193.0,92.0,3,"$1,231,500"
51,2017,Bobby Portis,13,1000,14.9,16.0,5.7,0.8,0.9,8.4,2.4,0.488,0.33299999999999996,0.541,59.0,0.6609999999999999,437,Not MVP,211.0,104.0,2,"$1,516,320"
52,2017,Bojan Bogdanovic,108,4166,13.76666667,7.233333332999999,8.0,0.8,0.36666666700000006,12.06666667,1.9333333330000002,0.44733333299999994,0.371666667,0.514,162.0,0.900333333,2226,Not MVP,198.0,92.0,3,"$10,500,000"
